date,service,ridership
2020-10-15,ets,737
2020-10-16,ets,1065
2020-10-17,ets,856
2020-10-18,ets,1037
2020-10-19,ets,845
2020-10-20,ets,706
2020-10-21,ets,778
2020-10-22,ets,795
2020-10-23,ets,1004
2020-10-24,ets,868
2020-10-25,ets,976
2020-10-26,ets,803
2020-10-27,ets,768
2020-10-28,ets,1311
2020-10-29,ets,1299
2020-10-30,ets,1273
2020-10-31,ets,1290
2020-11-01,ets,1551
2020-11-02,ets,1317
2020-11-03,ets,1041
2020-11-04,ets,1028
2020-11-05,ets,1392
2020-11-06,ets,1488
2020-11-07,ets,1250
2020-11-08,ets,1800
2020-11-09,ets,1227
2020-11-10,ets,1026
2020-11-11,ets,1074
2020-11-12,ets,1244
2020-11-13,ets,1309
2020-11-14,ets,765
2020-11-15,ets,1024
2020-11-16,ets,1160
2020-11-17,ets,1043
2020-11-18,ets,995
2020-11-19,ets,939
2020-11-20,ets,1250
2020-11-21,ets,985
2020-11-22,ets,1153
2020-11-23,ets,1126
2020-11-24,ets,927
2020-11-25,ets,947
2020-11-26,ets,1078
2020-11-27,ets,1370
2020-11-28,ets,1179
2020-11-29,ets,1219
2020-11-30,ets,1305
2020-12-01,ets,1071
2020-12-02,ets,1019
2020-12-03,ets,1125
2020-12-04,ets,1410
2020-12-05,ets,1303
2020-12-06,ets,1421
2020-12-07,ets,2313
2020-12-08,ets,2119
2020-12-09,ets,2423
2020-12-10,ets,3224
2020-12-11,ets,4927
2020-12-12,ets,3315
2020-12-13,ets,5233
2020-12-14,ets,2994
2020-12-15,ets,2666
2020-12-16,ets,2821
2020-12-17,ets,3165
2020-12-18,ets,5238
2020-12-19,ets,4361
2020-12-20,ets,5225
2020-12-21,ets,3567
2020-12-22,ets,3488
2020-12-23,ets,4007
2020-12-24,ets,5094
2020-12-25,ets,6166
2020-12-26,ets,4557
2020-12-27,ets,7317
2020-12-28,ets,4621
2020-12-29,ets,4023
2020-12-30,ets,4488
2020-12-31,ets,5148
2021-01-01,ets,5284
2021-01-02,ets,4641
2021-01-03,ets,6561
2021-01-04,ets,4071
2021-01-05,ets,3444
2021-01-06,ets,3350
2021-01-07,ets,3314
2021-01-08,ets,4556
2021-01-09,ets,4512
2021-01-10,ets,5038
2021-01-11,ets,3756
2021-01-12,ets,5813
2021-01-13,ets,992
2021-01-14,ets,975
2021-01-15,ets,1470
2021-01-16,ets,691
2021-01-17,ets,874
2021-01-18,ets,740
2021-01-19,ets,721
2021-01-20,ets,843
2021-01-21,ets,876
2021-01-22,ets,537
2021-01-23,ets,404
2021-01-24,ets,528
2021-01-25,ets,464
2021-01-26,ets,504
2021-01-27,ets,641
2021-01-28,ets,715
2021-01-29,ets,891
2021-01-30,ets,802
2021-01-31,ets,820
2021-02-01,ets,742
2021-02-02,ets,754
2021-02-03,ets,622
2021-02-04,ets,734
2021-02-05,ets,935
2021-02-06,ets,776
2021-02-07,ets,838
2021-02-08,ets,823
2021-02-09,ets,836
2021-02-10,ets,1129
2021-02-11,ets,1254
2021-02-12,ets,869
2021-02-13,ets,656
2021-02-14,ets,1149
2021-02-15,ets,1135
2021-02-16,ets,995
2021-02-17,ets,865
2021-02-18,ets,1025
2021-02-19,ets,1363
2021-02-20,ets,1228
2021-02-21,ets,1455
2021-02-22,ets,1122
2021-02-23,ets,1009
2021-02-24,ets,993
2021-02-25,ets,1160
2021-02-26,ets,1605
2021-02-27,ets,1334
2021-02-28,ets,1593
2021-03-01,ets,1184
2021-03-02,ets,1048
2021-03-03,ets,1004
2021-03-04,ets,1088
2021-03-05,ets,1814
2021-03-06,ets,1488
2021-03-07,ets,1699
2021-03-08,ets,1546
2021-03-09,ets,1282
2021-03-10,ets,1406
2021-03-11,ets,1567
2021-03-12,ets,1994
2021-03-13,ets,1703
2021-03-14,ets,2055
2021-03-15,ets,1873
2021-03-16,ets,1576
2021-03-17,ets,1549
2021-03-18,ets,1630
2021-03-19,ets,2519
2021-03-20,ets,1928
2021-03-21,ets,2543
2021-03-22,ets,1961
2021-03-23,ets,1773
2021-03-24,ets,1801
2021-03-25,ets,1998
2021-03-26,ets,2915
2021-03-27,ets,2357
2021-03-28,ets,2657
2021-03-29,ets,2346
2021-03-30,ets,2155
2021-03-31,ets,2223
2021-04-01,ets,2463
2021-04-02,ets,3009
2021-04-03,ets,2636
2021-04-04,ets,3190
2021-04-05,ets,2614
2021-04-06,ets,2154
2021-04-07,ets,2060
2021-04-08,ets,2407
2021-04-09,ets,3353
2021-04-10,ets,2634
2021-04-11,ets,3220
2021-04-12,ets,2494
2021-04-13,ets,1523
2021-04-14,ets,1740
2021-04-15,ets,1757
2021-04-16,ets,2457
2021-04-17,ets,1995
2021-04-18,ets,2439
2021-04-19,ets,1908
2021-04-20,ets,1538
2021-04-21,ets,1521
2021-04-22,ets,1810
2021-04-23,ets,2148
2021-04-24,ets,1442
2021-04-25,ets,2064
2021-04-26,ets,2120
2021-04-27,ets,1574
2021-04-28,ets,2264
2021-04-29,ets,1889
2021-04-30,ets,1833
2021-05-01,ets,1295
2021-05-02,ets,1990
2021-05-03,ets,1888
2021-05-04,ets,1521
2021-05-05,ets,1678
2021-05-06,ets,1961
2021-05-07,ets,1958
2021-05-08,ets,1442
2021-05-09,ets,1484
2021-05-10,ets,1553
2021-05-11,ets,1673
2021-05-12,ets,1482
2021-05-13,ets,500
2021-05-14,ets,620
2021-05-15,ets,1003
2021-05-16,ets,1914
2021-05-17,ets,1565
2021-05-18,ets,1186
2021-05-19,ets,1006
2021-05-20,ets,911
2021-05-21,ets,1105
2021-05-22,ets,695
2021-05-23,ets,752
2021-05-24,ets,621
2021-05-25,ets,580
2021-05-26,ets,598
2021-05-27,ets,461
2021-05-28,ets,526
2021-05-29,ets,627
2021-05-30,ets,800
2021-05-31,ets,1015
2021-06-01,ets,89
2021-06-02,ets,85
2021-06-03,ets,77
2021-06-04,ets,95
2021-06-05,ets,69
2021-06-06,ets,50
2021-06-07,ets,64
2021-06-08,ets,119
2021-06-09,ets,117
2021-06-10,ets,71
2021-06-11,ets,116
2021-06-12,ets,58
2021-06-13,ets,103
2021-06-14,ets,172
2021-06-15,ets,155
2021-06-16,ets,132
2021-06-17,ets,134
2021-06-18,ets,153
2021-06-19,ets,105
2021-06-20,ets,114
2021-06-21,ets,160
2021-06-22,ets,141
2021-06-23,ets,135
2021-06-24,ets,125
2021-06-25,ets,151
2021-06-26,ets,113
2021-06-27,ets,125
2021-06-28,ets,183
2021-06-29,ets,174
2021-06-30,ets,171
2021-07-01,ets,194
2021-07-02,ets,219
2021-07-03,ets,137
2021-07-04,ets,121
2021-07-05,ets,187
2021-07-06,ets,157
2021-07-07,ets,143
2021-07-08,ets,145
2021-07-09,ets,182
2021-07-10,ets,131
2021-07-11,ets,91
2021-07-12,ets,195
2021-07-13,ets,155
2021-07-14,ets,135
2021-07-15,ets,205
2021-07-16,ets,229
2021-07-17,ets,136
2021-07-18,ets,120
2021-07-19,ets,162
2021-07-20,ets,91
2021-07-21,ets,165
2021-07-22,ets,195
2021-07-23,ets,205
2021-07-24,ets,159
2021-07-25,ets,150
2021-07-26,ets,189
2021-07-27,ets,190
2021-07-28,ets,165
2021-07-29,ets,164
2021-07-30,ets,199
2021-07-31,ets,139
2021-08-01,ets,143
2021-08-02,ets,197
2021-08-03,ets,181
2021-08-04,ets,185
2021-08-05,ets,173
2021-08-06,ets,194
2021-08-07,ets,128
2021-08-08,ets,124
2021-08-09,ets,180
2021-08-10,ets,117
2021-08-11,ets,204
2021-08-12,ets,159
2021-08-13,ets,229
2021-08-14,ets,141
2021-08-15,ets,124
2021-08-16,ets,188
2021-08-17,ets,175
2021-08-18,ets,191
2021-08-19,ets,157
2021-08-20,ets,235
2021-08-21,ets,153
2021-08-22,ets,153
2021-08-23,ets,225
2021-08-24,ets,187
2021-08-25,ets,185
2021-08-26,ets,204
2021-08-27,ets,236
2021-08-28,ets,190
2021-08-29,ets,172
2021-08-30,ets,215
2021-08-31,ets,199
2021-09-01,ets,210
2021-09-02,ets,223
2021-09-03,ets,243
2021-09-04,ets,172
2021-09-05,ets,203
2021-09-06,ets,230
2021-09-07,ets,222
2021-09-08,ets,219
2021-09-09,ets,198
2021-09-10,ets,274
2021-09-11,ets,220
2021-09-12,ets,198
2021-09-13,ets,317
2021-09-14,ets,265
2021-09-15,ets,362
2021-09-16,ets,244
2021-09-17,ets,298
2021-09-18,ets,223
2021-09-19,ets,296
2021-09-20,ets,378
2021-09-21,ets,303
2021-09-22,ets,277
2021-09-23,ets,295
2021-09-24,ets,374
2021-09-25,ets,253
2021-09-26,ets,297
2021-09-27,ets,391
2021-09-28,ets,302
2021-09-29,ets,280
2021-09-30,ets,379
2021-10-01,ets,412
2021-10-02,ets,276
2021-10-03,ets,368
2021-10-04,ets,414
2021-10-05,ets,366
2021-10-06,ets,302
2021-10-07,ets,354
2021-10-08,ets,493
2021-10-09,ets,340
2021-10-10,ets,337
2021-10-11,ets,581
2021-10-12,ets,528
2021-10-13,ets,514
2021-10-14,ets,2232
2021-10-15,ets,3075
2021-10-16,ets,3059
2021-10-17,ets,2845
2021-10-18,ets,2421
2021-10-19,ets,3126
2021-10-20,ets,2540
2021-10-21,ets,2512
2021-10-22,ets,3437
2021-10-23,ets,2993
2021-10-24,ets,3372
2021-10-25,ets,2948
2021-10-26,ets,2421
2021-10-27,ets,2396
2021-10-28,ets,2866
2021-10-29,ets,3818
2021-10-30,ets,3673
2021-10-31,ets,3969
